"","PIT","degree","Date.Time","Antenna","location","week","group","visit.duration","leader.follower","species","age_in_2020","season","betweenness","group.size","n_species","flock_size","species_prop"
"1","0110175BD7",39,200722161823,"M","Mill2",12,450,3.68333333333333,"leader","GRETI","adult","summer",10,2,7,10,0.7
"2","0110175BD7",39,200721105954,"M","Mill2",12,36,6.96666666666667,"follower","GRETI","adult","summer",10,9,11,17,0.647058823529412
"3","0110175BD7",39,200730062010,"M","Mill2",13,1337,1.63333333333333,"leader","GRETI","adult","summer",10,3,6,13,0.461538461538462
"4","0110175BD7",39,200721140613,"M","Mill2",12,141,1.96666666666667,"follower","GRETI","adult","summer",10,4,6,10,0.6
"5","0110175BD7",39,200721173459,"M","Mill2",12,61,3.05,"follower","GRETI","adult","summer",10,3,7,11,0.636363636363636
"6","0110175BD7",39,200730061939,"M","Mill2",13,1375,0.716666666666667,"follower","GRETI","adult","summer",10,3,5,10,0.5
"7","0110175BD7",39,200721175409,"M","Mill2",12,152,6.5,"follower","GRETI","adult","summer",10,8,9,15,0.6
"8","0110175BD7",39,200722162616,"M","Mill2",12,486,5.08333333333333,"follower","GRETI","adult","summer",10,3,6,13,0.461538461538462
"9","0110175BD7",39,200721163521,"M","Mill2",12,90,2.55,"leader","GRETI","adult","summer",10,3,4,10,0.4
"10","0110175BD7",39,200722122418,"M","Mill2",12,439,6.05,"follower","GRETI","adult","summer",10,3,6,11,0.545454545454545
"11","0110175BD7",39,200721174013,"M","Mill2",12,137,3.1,"leader","GRETI","adult","summer",10,4,5,9,0.555555555555556
"12","0110175BD7",39,200721151020,"M","Mill2",12,131,3.85,"follower","GRETI","adult","summer",10,7,10,15,0.666666666666667
"13","0110175BD7",39,200730061646,"M","Mill2",13,1350,2.91666666666667,"follower","GRETI","adult","summer",10,5,7,9,0.777777777777778
"14","0110175BD7",39,200729083140,"M","Mill2",13,1102,12.75,"follower","GRETI","adult","summer",10,6,12,21,0.571428571428571
"15","0110175BD7",39,200722121315,"M","Mill2",12,483,2.83333333333333,"follower","GRETI","adult","summer",10,3,5,9,0.555555555555556
"16","0110175BD7",39,200721110000,"M","Mill2",12,48,5.35,"leader","GRETI","adult","summer",10,10,14,15,0.933333333333333
"17","0110175BD7",39,200721154837,"M","Mill2",12,112,3.01666666666667,"leader","GRETI","adult","summer",10,3,3,9,0.333333333333333
"18","0110175BD7",39,200722121532,"M","Mill2",12,505,4.86666666666667,"leader","GRETI","adult","summer",10,3,7,8,0.875
"19","0110175BD7",39,200730061231,"M","Mill2",13,1358,1.48333333333333,"follower","GRETI","adult","summer",10,4,11,15,0.733333333333333
