"PIT" "group" "Date.Time" "location" "week" "visit.duration" "leader.follower" "n_visits" "species" "age_in_2020" "season" "degree" "betweenness" "n_species" "flock_size" "species_prop"
"1" "0110175BD7" "summer_1337" 200730062010 "Mill2" 13 1.63333333333333 "leader" 2 "GRETI" "adult" "summer" 39 10 3 3 1
"2" "0110175BD7" "summer_141" 200721140613 "Mill2" 12 1.96666666666667 "follower" 3 "GRETI" "adult" "summer" 39 10 4 4 1
"3" "0110175BD7" "summer_486" 200722162616 "Mill2" 12 5.08333333333333 "follower" 1 "GRETI" "adult" "summer" 39 10 3 3 1
"4" "0110175BD7" "summer_92" 200721140844 "Mill2" 12 3.46666666666667 "follower" 1 "GRETI" "adult" "summer" 39 10 5 5 1
"5" "0110175BD7" "summer_90" 200721163521 "Mill2" 12 2.55 "leader" 1 "GRETI" "adult" "summer" 39 10 3 3 1
"6" "0110175BD7" "summer_505" 200722121532 "Mill2" 12 4.86666666666667 "leader" 4 "GRETI" "adult" "summer" 39 10 3 3 1
"7" "0110175BD7" "summer_48" 200721110000 "Mill2" 12 5.35 "leader" 3 "GRETI" "adult" "summer" 39 10 10 10 1
"8" "0110175BD7" "summer_439" 200722122418 "Mill2" 12 6.05 "follower" 3 "GRETI" "adult" "summer" 39 10 3 3 1
"9" "0110175BD7" "summer_450" 200722161823 "Mill2" 12 3.68333333333333 "leader" 3 "GRETI" "adult" "summer" 39 10 2 2 1
"10" "0110175BD7" "summer_1131" 200729082801 "Mill2" 13 2.8 "follower" 2 "GRETI" "adult" "summer" 39 10 3 3 1
"14" "0110175BD7" "summer_1350" 200730061646 "Mill2" 13 2.91666666666667 "follower" 1 "GRETI" "adult" "summer" 39 10 5 5 1
"15" "0110175BD7" "summer_131" 200721151020 "Mill2" 12 3.85 "follower" 2 "GRETI" "adult" "summer" 39 10 7 7 1
"16" "0110175BD7" "summer_1375" 200730061939 "Mill2" 13 0.716666666666667 "follower" 1 "GRETI" "adult" "summer" 39 10 3 3 1
"17" "0110175BD7" "summer_152" 200721175409 "Mill2" 12 6.5 "follower" 3 "GRETI" "adult" "summer" 39 10 8 8 1
"18" "0110175BD7" "summer_1358" 200730061231 "Mill2" 13 1.48333333333333 "follower" 2 "GRETI" "adult" "summer" 39 10 4 4 1
"19" "0110175BD7" "summer_112" 200721154837 "Mill2" 12 3.01666666666667 "leader" 1 "GRETI" "adult" "summer" 39 10 3 3 1
"20" "0110175BD7" "summer_61" 200721173459 "Mill2" 12 3.05 "follower" 1 "GRETI" "adult" "summer" 39 10 3 3 1
"21" "0110175BD7" "summer_1102" 200729083140 "Mill2" 13 12.75 "follower" 3 "GRETI" "adult" "summer" 39 10 6 6 1
"22" "0110175E30" "summer_1928" 200805114222 "Mill2" 14 2.78333333333333 "leader" 1 "GRETI" "adult" "summer" 54 17 2 2 1
"23" "0110175E30" "summer_1469" 200804152341 "Mill2" 14 9.8 "follower" 2 "GRETI" "adult" "summer" 54 17 9 11 0.818181818181818
"24" "0110175E30" "summer_1076" 200729100007 "Mill2" 13 5.58333333333333 "leader" 1 "GRETI" "adult" "summer" 54 17 5 6 0.833333333333333
"25" "0110175E30" "summer_72" 200721150443 "Mill2" 12 5.15 "follower" 1 "GRETI" "adult" "summer" 54 17 6 7 0.857142857142857
"26" "0110175E30" "summer_1467" 200804112038 "Mill2" 14 4.51666666666667 "follower" 1 "GRETI" "adult" "summer" 54 17 4 6 0.666666666666667
"27" "0110175E30" "summer_1475" 200804155625 "Mill2" 14 3.1 "follower" 1 "GRETI" "adult" "summer" 54 17 4 6 0.666666666666667
"29" "0110175E30" "summer_1482" 200804124944 "Mill2" 14 3.9 "leader" 2 "GRETI" "adult" "summer" 54 17 2 2 1
"31" "0110175E30" "summer_1115" 200729115702 "Mill2" 13 1.6 "follower" 2 "GRETI" "adult" "summer" 54 17 2 2 1
"33" "0110175E30" "summer_34" 200721143714 "Mill2" 12 4.68333333333333 "follower" 1 "GRETI" "adult" "summer" 54 17 8 9 0.888888888888889
"34" "0110175E30" "summer_2130" 200806085442 "Mill2" 14 0.283333333333333 "leader" 1 "GRETI" "adult" "summer" 54 17 1 1 1
"35" "0110175E30" "summer_513" 200722160009 "Mill2" 12 3.91666666666667 "leader" 2 "GRETI" "adult" "summer" 54 17 2 2 1
"36" "0110175E30" "summer_1091" 200729170916 "Mill2" 13 4.5 "follower" 1 "GRETI" "adult" "summer" 54 17 4 4 1
"37" "0110175E30" "summer_2118" 200806063729 "Mill2" 14 2.26666666666667 "follower" 2 "GRETI" "adult" "summer" 54 17 4 5 0.8
"38" "0110175E30" "summer_1879" 200805144756 "Mill2" 14 4.11666666666667 "follower" 1 "GRETI" "adult" "summer" 54 17 8 8 1
"39" "0110175E30" "summer_459" 200722182331 "Mill2" 12 0.0333333333333333 "leader" 1 "GRETI" "adult" "summer" 54 17 1 1 1
"40" "0110175E30" "summer_1138" 200729115145 "Mill2" 13 7.36666666666667 "follower" 1 "GRETI" "adult" "summer" 54 17 4 4 1
"41" "0110175E30" "summer_789" 200728162945 "Mill2" 13 4.81666666666667 "follower" 4 "GRETI" "adult" "summer" 54 17 4 5 0.8
"42" "0110175E30" "summer_1861" 200805092603 "Mill2" 14 1.16666666666667 "follower" 1 "GRETI" "adult" "summer" 54 17 5 5 1
"43" "0110175E30" "summer_36" 200721105548 "Mill2" 12 6.96666666666667 "follower" 1 "GRETI" "adult" "summer" 54 17 8 9 0.888888888888889
"44" "0110175E30" "summer_1455" 200804112438 "Mill2" 14 3.16666666666667 "follower" 1 "GRETI" "adult" "summer" 54 17 3 3 1
"46" "0110175E30" "summer_2105" 200806064125 "Mill2" 14 1.15 "leader" 2 "GRETI" "adult" "summer" 54 17 2 2 1
"47" "0110175E30" "summer_434" 200722155352 "Mill2" 12 5.6 "leader" 3 "GRETI" "adult" "summer" 54 17 3 3 1
"49" "0110175E30" "summer_1113" 200729140113 "Mill2" 13 9.73333333333333 "follower" 1 "GRETI" "adult" "summer" 54 17 5 6 0.833333333333333
"50" "0110175E30" "summer_1901" 200805114030 "Mill2" 14 0.0333333333333333 "leader" 1 "GRETI" "adult" "summer" 54 17 1 1 1
"52" "0110175E30" "summer_1821" 200805065137 "Mill2" 14 0.883333333333333 "leader" 1 "GRETI" "adult" "summer" 54 17 3 3 1
"53" "0110175E30" "summer_59" 200721134300 "Mill2" 12 3.38333333333333 "follower" 1 "GRETI" "adult" "summer" 54 17 4 6 0.666666666666667
"54" "0110175E30" "summer_1915" 200805130614 "Mill2" 14 2.56666666666667 "leader" 2 "GRETI" "adult" "summer" 54 17 7 9 0.777777777777778
"55" "0110175E30" "summer_1346" 200730073145 "Mill2" 13 1.78333333333333 "leader" 2 "GRETI" "adult" "summer" 54 17 1 1 1
"56" "0110175E30" "summer_1486" 200804141133 "Mill2" 14 15.9333333333333 "follower" 3 "GRETI" "adult" "summer" 54 17 11 15 0.733333333333333
"57" "0110175E30" "summer_1484" 200804172711 "Mill2" 14 7.26666666666667 "follower" 1 "GRETI" "adult" "summer" 54 17 6 7 0.857142857142857
"58" "0110175E30" "summer_430" 200722182412 "Mill2" 12 3.08333333333333 "leader" 1 "GRETI" "adult" "summer" 54 17 2 2 1
"59" "0110175E30" "summer_1862" 200805064900 "Mill2" 14 3.43333333333333 "follower" 1 "GRETI" "adult" "summer" 54 17 3 3 1
"60" "0110175E30" "summer_2119" 200806085500 "Mill2" 14 4.13333333333333 "leader" 2 "GRETI" "adult" "summer" 54 17 3 3 1
