"","X","PIT","visit","species","group","season","visit.duration"
"1",2,"0110175BD7",1,"GRETI",152,"summer",6.5
"2",5,"0110175BD7",1,"GRETI",112,"summer",3.01666666666667
"3",6,"0110175BD7",1,"GRETI",1350,"summer",2.91666666666667
"4",8,"0110175BD7",1,"GRETI",137,"summer",3.1
"5",9,"0110175BD7",1,"GRETI",61,"summer",3.05
"6",10,"0110175BD7",2,"GRETI",48,"summer",5.35
"7",31,"0110175BD7",3,"GRETI",450,"summer",3.68333333333333
"8",34,"0110175BD7",1,"GRETI",36,"summer",6.96666666666667
"9",35,"0110175BD7",1,"GRETI",486,"summer",5.08333333333333
"10",46,"0110175BD7",1,"GRETI",90,"summer",2.55
"11",47,"0110175BD7",2,"GRETI",131,"summer",3.85
"12",49,"0110175BD7",6,"GRETI",505,"summer",4.86666666666667
"13",50,"0110175BD7",2,"GRETI",483,"summer",2.83333333333333
"14",55,"0110175BD7",3,"GRETI",141,"summer",1.96666666666667
"15",62,"0110175BD7",1,"GRETI",1358,"summer",1.48333333333333
"16",71,"0110175BD7",4,"GRETI",1102,"summer",12.75
"17",72,"0110175BD7",1,"GRETI",92,"summer",3.46666666666667
"18",78,"0110175BD7",5,"GRETI",439,"summer",6.05
"19",85,"0110175BD7",2,"GRETI",1131,"summer",2.8
"20",96,"0110175BD7",1,"GRETI",1375,"summer",0.716666666666667
"21",166,"0110175E30",2,"GRETI",1115,"summer",1.6
"22",168,"0110175E30",3,"GRETI",2105,"summer",1.15
"23",169,"0110175E30",1,"GRETI",36,"summer",6.96666666666667
"24",170,"0110175E30",1,"GRETI",1844,"summer",6.6
"25",171,"0110175E30",1,"GRETI",1482,"summer",3.9
"26",172,"0110175E30",3,"GRETI",120,"summer",6.53333333333333
"27",175,"0110175E30",1,"GRETI",1830,"summer",9.95
"28",177,"0110175E30",2,"GRETI",2118,"summer",2.26666666666667
"29",180,"0110175E30",2,"GRETI",513,"summer",3.91666666666667
"30",187,"0110175E30",1,"GRETI",430,"summer",3.08333333333333
"31",189,"0110175E30",1,"GRETI",72,"summer",5.15
"32",194,"0110175E30",1,"GRETI",434,"summer",5.6
"33",216,"0110175E30",2,"GRETI",1486,"summer",15.9333333333333
"34",217,"0110175E30",1,"GRETI",1901,"summer",0.0333333333333333
"35",218,"0110175E30",1,"GRETI",1821,"summer",0.883333333333333
"36",220,"0110175E30",2,"GRETI",2119,"summer",4.13333333333333
"37",223,"0110175E30",1,"GRETI",1346,"summer",1.78333333333333
"38",228,"0110175E30",1,"GRETI",59,"summer",3.38333333333333
"39",235,"0110175E30",2,"GRETI",2130,"summer",0.283333333333333
"40",248,"0110175E30",4,"GRETI",33,"summer",1.05
"41",250,"0110175E30",1,"GRETI",1455,"summer",3.16666666666667
"42",252,"0110175E30",1,"GRETI",2094,"summer",1.55
"43",263,"0110175E30",1,"GRETI",1469,"summer",9.8
"44",266,"0110175E30",2,"GRETI",1342,"summer",0.633333333333333
"45",267,"0110175E30",1,"GRETI",1076,"summer",5.58333333333333
"46",275,"0110175E30",1,"GRETI",1350,"summer",2.91666666666667
"47",281,"0110175E30",1,"GRETI",1862,"summer",3.43333333333333
"48",283,"0110175E30",1,"GRETI",1484,"summer",7.26666666666667
"49",286,"0110175E30",1,"GRETI",1467,"summer",4.51666666666667
"50",289,"0110175E30",1,"GRETI",1879,"summer",4.11666666666667
"51",290,"0110175E30",1,"GRETI",459,"summer",0.0333333333333333
"52",300,"0110175E30",1,"GRETI",1138,"summer",7.36666666666667
"53",301,"0110175E30",4,"GRETI",789,"summer",4.81666666666667
"54",303,"0110175E30",1,"GRETI",1915,"summer",2.56666666666667
"55",322,"0110175E30",1,"GRETI",1091,"summer",4.5
"56",326,"0110175E30",1,"GRETI",1861,"summer",1.16666666666667
"57",339,"0110175E30",1,"GRETI",1113,"summer",9.73333333333333
"58",373,"0110175E30",1,"GRETI",1928,"summer",2.78333333333333
"59",382,"0110175E30",1,"GRETI",34,"summer",4.68333333333333
"60",392,"0110175E30",1,"GRETI",1475,"summer",3.1
"61",397,"0110176144",1,"GRETI",2011,"summer",0.483333333333333
"62",399,"0110176520",1,"GRETI",1253,"summer",4.61666666666667
"63",400,"0110176520",1,"GRETI",1238,"summer",13.3
"64",403,"0110176520",3,"GRETI",1301,"summer",2.08333333333333
"65",407,"0110176520",1,"GRETI",1660,"summer",9.26666666666667
"66",411,"0110176520",1,"GRETI",1720,"summer",4.3
"67",415,"0110176520",1,"GRETI",949,"summer",2.66666666666667
"68",417,"0110176520",1,"GRETI",976,"summer",0
"69",418,"0110176520",1,"GRETI",277,"summer",6.63333333333333
"70",420,"0110176520",1,"GRETI",1711,"summer",4.71666666666667
"71",422,"0110176520",1,"GRETI",313,"summer",0.0333333333333333
"72",423,"0110176520",1,"GRETI",638,"summer",32.4666666666667
"73",438,"0110176520",4,"GRETI",956,"summer",13.6833333333333
"74",458,"0110176520",1,"GRETI",984,"summer",7.3
"75",478,"0110176520",1,"GRETI",2033,"summer",0.833333333333333
"76",488,"0110176520",1,"GRETI",2029,"summer",0.133333333333333
"77",491,"0110176520",1,"GRETI",974,"summer",2.68333333333333
"78",494,"0110176520",1,"GRETI",1994,"summer",2.93333333333333
"79",508,"0110176520",1,"GRETI",1296,"summer",1.9
"80",510,"0110176520",4,"GRETI",938,"summer",3.25
"81",514,"0110176520",3,"GRETI",301,"summer",48.2166666666667
"82",515,"0110176520",1,"GRETI",275,"summer",3.3
"83",518,"0110176520",1,"GRETI",1248,"summer",5.55
"84",524,"0110176520",1,"GRETI",1692,"summer",22.9166666666667
