"PIT" "visit" "species" "group" "season" "visit.duration"
"1" "0110175BD7" 1 "GRETI" "summer_152" "summer" 6.5
"2" "0110175BD7" 1 "GRETI" "summer_112" "summer" 3.01666666666667
"3" "0110175BD7" 1 "GRETI" "summer_1350" "summer" 2.91666666666667
"4" "0110175BD7" 1 "GRETI" "summer_137" "summer" 3.1
"5" "0110175BD7" 1 "GRETI" "summer_61" "summer" 3.05
"6" "0110175BD7" 2 "GRETI" "summer_48" "summer" 5.35
"7" "0110175BD7" 1 "GRETI" "summer_1337" "summer" 1.63333333333333
"8" "0110175BD7" 3 "GRETI" "summer_450" "summer" 3.68333333333333
"9" "0110175BD7" 1 "GRETI" "summer_36" "summer" 6.96666666666667
"10" "0110175BD7" 1 "GRETI" "summer_486" "summer" 5.08333333333333
"11" "0110175BD7" 1 "GRETI" "summer_90" "summer" 2.55
"12" "0110175BD7" 2 "GRETI" "summer_131" "summer" 3.85
"13" "0110175BD7" 6 "GRETI" "summer_505" "summer" 4.86666666666667
"14" "0110175BD7" 2 "GRETI" "summer_483" "summer" 2.83333333333333
"15" "0110175BD7" 3 "GRETI" "summer_141" "summer" 1.96666666666667
"16" "0110175BD7" 1 "GRETI" "summer_1358" "summer" 1.48333333333333
"17" "0110175BD7" 4 "GRETI" "summer_1102" "summer" 12.75
"18" "0110175BD7" 1 "GRETI" "summer_92" "summer" 3.46666666666667
"19" "0110175BD7" 5 "GRETI" "summer_439" "summer" 6.05
"20" "0110175BD7" 2 "GRETI" "summer_1131" "summer" 2.8
"21" "0110175BD7" 1 "GRETI" "summer_1375" "summer" 0.716666666666667
"22" "0110175E30" 2 "GRETI" "summer_1115" "summer" 1.6
"23" "0110175E30" 3 "GRETI" "summer_2105" "summer" 1.15
"24" "0110175E30" 1 "GRETI" "summer_36" "summer" 6.96666666666667
"25" "0110175E30" 1 "GRETI" "summer_1844" "summer" 6.6
"26" "0110175E30" 1 "GRETI" "summer_1482" "summer" 3.9
"27" "0110175E30" 3 "GRETI" "summer_120" "summer" 6.53333333333333
"28" "0110175E30" 1 "GRETI" "summer_1830" "summer" 9.95
"29" "0110175E30" 2 "GRETI" "summer_2118" "summer" 2.26666666666667
"30" "0110175E30" 2 "GRETI" "summer_513" "summer" 3.91666666666667
"31" "0110175E30" 1 "GRETI" "summer_430" "summer" 3.08333333333333
"32" "0110175E30" 1 "GRETI" "summer_72" "summer" 5.15
"33" "0110175E30" 1 "GRETI" "summer_434" "summer" 5.6
"34" "0110175E30" 2 "GRETI" "summer_1486" "summer" 15.9333333333333
"35" "0110175E30" 1 "GRETI" "summer_1901" "summer" 0.0333333333333333
"36" "0110175E30" 1 "GRETI" "summer_1821" "summer" 0.883333333333333
"37" "0110175E30" 2 "GRETI" "summer_2119" "summer" 4.13333333333333
"38" "0110175E30" 1 "GRETI" "summer_1346" "summer" 1.78333333333333
"39" "0110175E30" 1 "GRETI" "summer_59" "summer" 3.38333333333333
"40" "0110175E30" 2 "GRETI" "summer_2130" "summer" 0.283333333333333
"41" "0110175E30" 4 "GRETI" "summer_33" "summer" 1.05
"42" "0110175E30" 1 "GRETI" "summer_1455" "summer" 3.16666666666667
"43" "0110175E30" 1 "GRETI" "summer_2094" "summer" 1.55
"44" "0110175E30" 1 "GRETI" "summer_1469" "summer" 9.8
"45" "0110175E30" 2 "GRETI" "summer_1342" "summer" 0.633333333333333
"46" "0110175E30" 1 "GRETI" "summer_1076" "summer" 5.58333333333333
"47" "0110175E30" 1 "GRETI" "summer_1350" "summer" 2.91666666666667
"48" "0110175E30" 1 "GRETI" "summer_1862" "summer" 3.43333333333333
"49" "0110175E30" 1 "GRETI" "summer_1484" "summer" 7.26666666666667
"50" "0110175E30" 1 "GRETI" "summer_1467" "summer" 4.51666666666667
"51" "0110175E30" 1 "GRETI" "summer_1879" "summer" 4.11666666666667
"52" "0110175E30" 1 "GRETI" "summer_459" "summer" 0.0333333333333333
"53" "0110175E30" 1 "GRETI" "summer_1138" "summer" 7.36666666666667
"54" "0110175E30" 4 "GRETI" "summer_789" "summer" 4.81666666666667
"55" "0110175E30" 1 "GRETI" "summer_1915" "summer" 2.56666666666667
"56" "0110175E30" 1 "GRETI" "summer_1091" "summer" 4.5
"57" "0110175E30" 1 "GRETI" "summer_1861" "summer" 1.16666666666667
"58" "0110175E30" 1 "GRETI" "summer_1113" "summer" 9.73333333333333
"59" "0110175E30" 1 "GRETI" "summer_1928" "summer" 2.78333333333333
